169879
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2775995450900383e-01 0.0000000000000000e+00
1.0008038517392728e-08 6.4930000000000005e-03 2.2794303974457258e-09 2.2775995450900383e-01 1.8924178214751967e-06
2.0016735592976378e-08 7.3840000000000008e-03 4.5590107880750572e-09 2.2775995450900383e-01 3.3282430093514939e-06
3.0028645488016074e-08 7.9610000000000011e-03 6.8393229303175430e-09 2.2775995450900383e-01 4.6310725308797400e-06
4.0053624745236900e-08 8.3979999999999992e-03 9.1226117498958658e-09 2.2775995450900383e-01 5.8557080846788239e-06
5.0069158379283269e-08 8.7530000000000004e-03 1.1403749234769664e-08 2.2775995450900383e-01 7.0230672471213214e-06
6.0079085701730145e-08 9.0540000000000013e-03 1.3683609826368599e-08 2.2775995450900383e-01 8.1469732193614701e-06
7.0106539883477363e-08 9.3170000000000006e-03 1.5967462334644468e-08 2.2775995450900383e-01 9.2383816913300236e-06
8.0136428269460531e-08 9.5510000000000005e-03 1.8251869257166381e-08 2.2775995450900383e-01 1.0301360855054644e-05
9.0154297104067573e-08 9.7619999999999998e-03 2.0533538607213639e-08 2.2775995450900383e-01 1.1338643281221184e-05
1.0018891919039453e-07 9.9550000000000003e-03 2.2819023677110519e-08 2.2775995450900383e-01 1.2356398078101962e-05
1.1023254849621011e-07 1.0133000000000000e-02 2.5106560230908371e-08 2.2775995450900383e-01 1.3356272449138308e-05
1.2026077069931620e-07 1.0298000000000000e-02 2.7390587663694003e-08 2.2775995450900383e-01 1.4337867388134610e-05
1.3027901846836476e-07 1.0451999999999999e-02 2.9672343319832421e-08 2.2775995450900383e-01 1.5303421525851241e-05
1.4032312160126586e-07 1.0597000000000001e-02 3.1959987792465717e-08 2.2775995450900383e-01 1.6257724770570118e-05
1.5038394511438210e-07 1.0734000000000000e-02 3.4251440498136193e-08 2.2775995450900383e-01 1.7200986175937981e-05
1.6038688698842075e-07 1.0862999999999999e-02 3.6529710084323444e-08 2.2775995450900383e-01 1.8127275805278855e-05
1.7042285412536285e-07 1.0986000000000001e-02 3.8815501502887231e-08 2.2775995450900383e-01 1.9045908941220648e-05
1.8043822793930596e-07 1.1103000000000000e-02 4.1096602587141586e-08 2.2775995450900383e-01 1.9952700218539813e-05
1.9046965290573963e-07 1.1214999999999999e-02 4.3381359481157001e-08 2.2775995450900383e-01 2.0851628389379991e-05
2.0047299860856556e-07 1.1321999999999999e-02 4.5659721043370469e-08 2.2775995450900383e-01 2.1739332242707653e-05
